white,black,score
Stockfish-1,Stockfish-2,1/2-1/2
Stockfish-1,Stockfish-2,1/2-1/2
Stockfish-1,Stockfish-3,0-1
Stockfish-1,Stockfish-3,0-1
Stockfish-1,Stockfish-4,1-0
Stockfish-1,Stockfish-4,1-0
Stockfish-1,Stockfish-5,0-1
Stockfish-1,Stockfish-5,0-1
Stockfish-2,Stockfish-3,1-0
Stockfish-2,Stockfish-3,1-0
Stockfish-2,Stockfish-4,0-1
Stockfish-2,Stockfish-4,0-1
Stockfish-2,Stockfish-5,0-1
Stockfish-2,Stockfish-5,0-1
Stockfish-3,Stockfish-4,0-1
Stockfish-3,Stockfish-4,0-1
Stockfish-3,Stockfish-5,0-1
Stockfish-3,Stockfish-5,0-1
Stockfish-4,Stockfish-5,0-1
Stockfish-4,Stockfish-5,0-1
